engine,command_type,order_strategy,levels,orders_per_level,m_orders_per_second
EngineV1,Cancel,Default,1,100000,0.16415
EngineV2,Cancel,Default,1,100000,0.16539
EngineV3,Cancel,Default,1,100000,74.085
EngineV4,Cancel,Default,1,100000,156.47
EngineV5,Cancel,Default,1,100000,158.76
EngineV1,Cancel,Default,10,10000,1.7563
EngineV2,Cancel,Default,10,10000,1.8279
EngineV3,Cancel,Default,10,10000,69.704
EngineV4,Cancel,Default,10,10000,158.33
EngineV5,Cancel,Default,10,10000,158.59
EngineV1,Cancel,Default,100,1000,8.0561
EngineV2,Cancel,Default,100,1000,9.7998
EngineV3,Cancel,Default,100,1000,70.502
EngineV4,Cancel,Default,100,1000,158.75
EngineV5,Cancel,Default,100,1000,154.58
EngineV1,Cancel,Default,1000,100,9.5699
EngineV2,Cancel,Default,1000,100,12.813
EngineV3,Cancel,Default,1000,100,54.994
EngineV4,Cancel,Default,1000,100,140.06
EngineV5,Cancel,Default,1000,100,133.63
EngineV1,Cancel,Default,10000,10,3.9131
EngineV2,Cancel,Default,10000,10,11.688
EngineV3,Cancel,Default,10000,10,34.82
EngineV4,Cancel,Default,10000,10,57.473
EngineV5,Cancel,Default,10000,10,56.545
EngineV1,Cancel,Default,10000,1000,3.5709
EngineV2,Cancel,Default,10000,1000,4.047
EngineV3,Cancel,Default,10000,1000,53.406
EngineV4,Cancel,Default,10000,1000,71.824
EngineV5,Cancel,Default,10000,1000,82.338
EngineV1,Cancel,Reverse,1,100000,0.07966
EngineV2,Cancel,Reverse,1,100000,0.08189
EngineV3,Cancel,Reverse,1,100000,74.303
EngineV4,Cancel,Reverse,1,100000,166.66
EngineV5,Cancel,Reverse,1,100000,158.15
EngineV1,Cancel,Reverse,10,10000,0.76056
EngineV2,Cancel,Reverse,10,10000,0.72715
EngineV3,Cancel,Reverse,10,10000,59.207
EngineV4,Cancel,Reverse,10,10000,164.02
EngineV5,Cancel,Reverse,10,10000,160.29
EngineV1,Cancel,Reverse,100,1000,4.1913
EngineV2,Cancel,Reverse,100,1000,4.4238
EngineV3,Cancel,Reverse,100,1000,48.739
EngineV4,Cancel,Reverse,100,1000,150.48
EngineV5,Cancel,Reverse,100,1000,154.47
EngineV1,Cancel,Reverse,1000,100,8.3996
EngineV2,Cancel,Reverse,1000,100,8.8366
EngineV3,Cancel,Reverse,1000,100,35.28
EngineV4,Cancel,Reverse,1000,100,132.42
EngineV5,Cancel,Reverse,1000,100,135.81
EngineV1,Cancel,Reverse,10000,10,9.8678
EngineV2,Cancel,Reverse,10000,10,8.648
EngineV3,Cancel,Reverse,10000,10,21.865
EngineV4,Cancel,Reverse,10000,10,51.968
EngineV5,Cancel,Reverse,10000,10,49.692
EngineV1,Cancel,Reverse,10000,1000,2.5252
EngineV2,Cancel,Reverse,10000,1000,2.6146
EngineV3,Cancel,Reverse,10000,1000,30.422
EngineV4,Cancel,Reverse,10000,1000,23.595
EngineV5,Cancel,Reverse,10000,1000,80.494
EngineV1,Cancel,Random,1,100000,0.10715
EngineV2,Cancel,Random,1,100000,0.10675
EngineV3,Cancel,Random,1,100000,26.51
EngineV4,Cancel,Random,1,100000,148.39
EngineV5,Cancel,Random,1,100000,149.82
EngineV1,Cancel,Random,10,10000,0.9705
EngineV2,Cancel,Random,10,10000,0.99201
EngineV3,Cancel,Random,10,10000,22.376
EngineV4,Cancel,Random,10,10000,139.49
EngineV5,Cancel,Random,10,10000,146.27
EngineV1,Cancel,Random,100,1000,4.8904
EngineV2,Cancel,Random,100,1000,4.7794
EngineV3,Cancel,Random,100,1000,18.144
EngineV4,Cancel,Random,100,1000,32.364
EngineV5,Cancel,Random,100,1000,34.705
EngineV1,Cancel,Random,1000,100,7.6136
EngineV2,Cancel,Random,1000,100,7.058
EngineV3,Cancel,Random,1000,100,12.209
EngineV4,Cancel,Random,1000,100,26.463
EngineV5,Cancel,Random,1000,100,29.38
EngineV1,Cancel,Random,10000,10,4.195
EngineV2,Cancel,Random,10000,10,5.6686
EngineV3,Cancel,Random,10000,10,7.8226
EngineV4,Cancel,Random,10000,10,21.734
EngineV5,Cancel,Random,10000,10,25.377
EngineV1,Cancel,Random,10000,1000,1.4261
EngineV2,Cancel,Random,10000,1000,1.3869
EngineV3,Cancel,Random,10000,1000,4.7207
EngineV4,Cancel,Random,10000,1000,6.505
EngineV5,Cancel,Random,10000,1000,13.84
EngineV1,Place,Default,1,100000,18.583
EngineV2,Place,Default,1,100000,15.549
EngineV3,Place,Default,1,100000,48.337
EngineV4,Place,Default,1,100000,64.533
EngineV5,Place,Default,1,100000,54.781
EngineV1,Place,Default,10,10000,18.84
EngineV2,Place,Default,10,10000,14.71
EngineV3,Place,Default,10,10000,48.278
EngineV4,Place,Default,10,10000,56.901
EngineV5,Place,Default,10,10000,56.061
EngineV1,Place,Default,100,1000,16.407
EngineV2,Place,Default,100,1000,13.606
EngineV3,Place,Default,100,1000,40.195
EngineV4,Place,Default,100,1000,45.804
EngineV5,Place,Default,100,1000,54.07
EngineV1,Place,Default,1000,100,14.686
EngineV2,Place,Default,1000,100,11.34
EngineV3,Place,Default,1000,100,28.068
EngineV4,Place,Default,1000,100,34.215
EngineV5,Place,Default,1000,100,49.213
EngineV1,Place,Default,10000,10,11.964
EngineV2,Place,Default,10000,10,9.3991
EngineV3,Place,Default,10000,10,17.107
EngineV4,Place,Default,10000,10,19.951
EngineV5,Place,Default,10000,10,17.741
EngineV1,Place,Default,10000,1000,3.8973
