engine,total_levels,orders_per_level,m_orders_per_second
EngineV1,1,100000,0.108
EngineV1,10,10000,0.989
EngineV1,100,1000,4.4592
EngineV1,1000,100,7.0906
EngineV1,10000,10,4.1713
EngineV2,1,100000,0.105
EngineV2,10,10000,0.979
EngineV2,100,1000,4.4925
EngineV2,1000,100,6.7928
EngineV2,10000,10,5.6718
EngineV3,1,100000,24.225
EngineV3,10,10000,20.156
EngineV3,100,1000,16.479
EngineV3,1000,100,12.38
EngineV3,10000,10,8.1874
EngineV4,1,100000,129.91
EngineV4,10,10000,121.4
EngineV4,100,1000,37.375
EngineV4,1000,100,27.621
EngineV4,10000,10,22.671
