engine,order,ns
EngineV1,0,1030.0
EngineV1,1,110.0
EngineV1,2,380.0
EngineV1,3,430.0
EngineV1,4,250.0
EngineV1,5,60.0
EngineV1,6,100.0
EngineV1,7,60.0
EngineV1,8,420.0
EngineV1,9,50.0
EngineV1,10,70.0
EngineV1,11,80.0
EngineV1,12,60.0
EngineV1,13,800.0
EngineV1,14,60.0
EngineV1,15,130.0
EngineV1,16,60.0
EngineV1,17,50.0
EngineV1,18,50.0
EngineV1,19,150.0
EngineV1,20,50.0
EngineV1,21,190.0
EngineV1,22,50.0
EngineV1,23,50.0
EngineV1,24,640.0
EngineV1,25,50.0
EngineV1,26,60.0
EngineV1,27,60.0
EngineV1,28,60.0
EngineV1,29,70.0
EngineV1,30,40.0
EngineV1,31,40.0
EngineV1,32,50.0
EngineV1,33,60.0
EngineV1,34,500.0
EngineV1,35,600.0
EngineV1,36,60.0
EngineV1,37,50.0
EngineV1,38,40.0
EngineV1,39,140.0
EngineV1,40,60.0
EngineV1,41,50.0
EngineV1,42,60.0
EngineV1,43,60.0
EngineV1,44,70.0
EngineV1,45,60.0
EngineV1,46,50.0
EngineV1,47,270.0
EngineV1,48,60.0
EngineV1,49,50.0
EngineV1,50,50.0
EngineV1,51,40.0
EngineV1,52,40.0
EngineV1,53,170.0
EngineV1,54,50.0
EngineV1,55,50.0
EngineV1,56,40.0
EngineV1,57,50.0
EngineV1,58,50.0
EngineV1,59,710.0
EngineV1,60,50.0
EngineV1,61,190.0
EngineV1,62,150.0
EngineV1,63,50.0
EngineV1,64,50.0
EngineV1,65,60.0
EngineV1,66,60.0
EngineV1,67,60.0
EngineV1,68,50.0
EngineV1,69,50.0
EngineV1,70,60.0
EngineV1,71,50.0
EngineV1,72,50.0
EngineV1,73,60.0
EngineV1,74,60.0
EngineV1,75,40.0
EngineV1,76,150.0
EngineV1,77,50.0
EngineV1,78,150.0
EngineV1,79,60.0
EngineV1,80,170.0
EngineV1,81,70.0
EngineV1,82,50.0
EngineV1,83,70.0
EngineV1,84,40.0
EngineV1,85,160.0
EngineV1,86,60.0
EngineV1,87,60.0
EngineV1,88,60.0
EngineV1,89,60.0
EngineV1,90,170.0
EngineV1,91,70.0
EngineV1,92,60.0
EngineV1,93,50.0
EngineV1,94,60.0
EngineV1,95,50.0
EngineV1,96,70.0
EngineV1,97,50.0
EngineV1,98,260.0
EngineV1,99,70.0
EngineV2,0,930.0
EngineV2,1,390.0
EngineV2,2,150.0
EngineV2,3,120.0
EngineV2,4,160.0
EngineV2,5,110.0
EngineV2,6,60.0
EngineV2,7,60.0
EngineV2,8,190.0
EngineV2,9,450.0
EngineV2,10,70.0
EngineV2,11,130.0
EngineV2,12,80.0
EngineV2,13,60.0
EngineV2,14,70.0
EngineV2,15,60.0
EngineV2,16,150.0
EngineV2,17,130.0
EngineV2,18,80.0
EngineV2,19,450.0
EngineV2,20,70.0
EngineV2,21,60.0
EngineV2,22,60.0
EngineV2,23,120.0
EngineV2,24,170.0
EngineV2,25,60.0
EngineV2,26,60.0
EngineV2,27,60.0
EngineV2,28,60.0
EngineV2,29,60.0
EngineV2,30,70.0
EngineV2,31,60.0
EngineV2,32,70.0
EngineV2,33,60.0
EngineV2,34,650.0
EngineV2,35,70.0
EngineV2,36,160.0
EngineV2,37,70.0
EngineV2,38,70.0
EngineV2,39,60.0
EngineV2,40,60.0
EngineV2,41,390.0
EngineV2,42,60.0
EngineV2,43,60.0
EngineV2,44,60.0
EngineV2,45,180.0
EngineV2,46,210.0
EngineV2,47,70.0
EngineV2,48,70.0
EngineV2,49,60.0
EngineV2,50,60.0
EngineV2,51,320.0
EngineV2,52,60.0
EngineV2,53,70.0
EngineV2,54,80.0
EngineV2,55,70.0
EngineV2,56,60.0
EngineV2,57,60.0
EngineV2,58,260.0
EngineV2,59,220.0
EngineV2,60,130.0
EngineV2,61,80.0
EngineV2,62,80.0
EngineV2,63,60.0
EngineV2,64,310.0
EngineV2,65,60.0
EngineV2,66,60.0
EngineV2,67,60.0
EngineV2,68,60.0
EngineV2,69,60.0
EngineV2,70,70.0
EngineV2,71,80.0
EngineV2,72,60.0
EngineV2,73,60.0
EngineV2,74,70.0
EngineV2,75,170.0
EngineV2,76,70.0
EngineV2,77,110.0
EngineV2,78,70.0
EngineV2,79,80.0
EngineV2,80,70.0
EngineV2,81,60.0
EngineV2,82,60.0
EngineV2,83,70.0
EngineV2,84,70.0
EngineV2,85,60.0
EngineV2,86,90.0
EngineV2,87,210.0
EngineV2,88,90.0
EngineV2,89,100.0
EngineV2,90,70.0
EngineV2,91,1060.0
EngineV2,92,100.0
EngineV2,93,70.0
EngineV2,94,180.0
EngineV2,95,80.0
EngineV2,96,60.0
EngineV2,97,60.0
EngineV2,98,300.0
EngineV2,99,70.0
EngineV3,0,620.0
EngineV3,1,300.0
EngineV3,2,140.0
EngineV3,3,40.0
EngineV3,4,180.0
EngineV3,5,50.0
EngineV3,6,50.0
EngineV3,7,40.0
EngineV3,8,70.0
EngineV3,9,240.0
EngineV3,10,50.0
EngineV3,11,190.0
EngineV3,12,50.0
EngineV3,13,40.0
EngineV3,14,30.0
EngineV3,15,170.0
EngineV3,16,40.0
EngineV3,17,50.0
EngineV3,18,100.0
EngineV3,19,40.0
EngineV3,20,50.0
EngineV3,21,530.0
EngineV3,22,60.0
EngineV3,23,40.0
EngineV3,24,40.0
EngineV3,25,60.0
EngineV3,26,340.0
EngineV3,27,40.0
EngineV3,28,40.0
EngineV3,29,70.0
EngineV3,30,50.0
EngineV3,31,150.0
EngineV3,32,40.0
EngineV3,33,30.0
EngineV3,34,30.0
EngineV3,35,40.0
EngineV3,36,40.0
EngineV3,37,430.0
EngineV3,38,30.0
EngineV3,39,40.0
EngineV3,40,40.0
EngineV3,41,40.0
EngineV3,42,40.0
EngineV3,43,40.0
EngineV3,44,40.0
EngineV3,45,40.0
EngineV3,46,40.0
EngineV3,47,40.0
EngineV3,48,40.0
EngineV3,49,40.0
EngineV3,50,30.0
EngineV3,51,190.0
EngineV3,52,50.0
EngineV3,53,40.0
EngineV3,54,150.0
EngineV3,55,60.0
EngineV3,56,80.0
EngineV3,57,50.0
EngineV3,58,50.0
EngineV3,59,110.0
EngineV3,60,50.0
EngineV3,61,60.0
EngineV3,62,50.0
EngineV3,63,40.0
EngineV3,64,210.0
EngineV3,65,50.0
EngineV3,66,40.0
EngineV3,67,50.0
EngineV3,68,50.0
EngineV3,69,40.0
EngineV3,70,90.0
EngineV3,71,70.0
EngineV3,72,40.0
EngineV3,73,50.0
EngineV3,74,50.0
EngineV3,75,30.0
EngineV3,76,40.0
EngineV3,77,50.0
EngineV3,78,40.0
EngineV3,79,40.0
EngineV3,80,50.0
EngineV3,81,40.0
EngineV3,82,40.0
EngineV3,83,120.0
EngineV3,84,40.0
EngineV3,85,70.0
EngineV3,86,40.0
EngineV3,87,50.0
EngineV3,88,320.0
EngineV3,89,190.0
EngineV3,90,50.0
EngineV3,91,70.0
EngineV3,92,70.0
EngineV3,93,40.0
EngineV3,94,40.0
EngineV3,95,40.0
EngineV3,96,40.0
EngineV3,97,50.0
EngineV3,98,50.0
EngineV3,99,50.0
EngineV4,0,920.0
EngineV4,1,1030.0
EngineV4,2,240.0
EngineV4,3,100.0
EngineV4,4,40.0
EngineV4,5,20.0
EngineV4,6,240.0
EngineV4,7,90.0
EngineV4,8,40.0
EngineV4,9,180.0
EngineV4,10,80.0
EngineV4,11,90.0
EngineV4,12,60.0
EngineV4,13,40.0
EngineV4,14,70.0
EngineV4,15,40.0
EngineV4,16,90.0
EngineV4,17,40.0
EngineV4,18,60.0
EngineV4,19,20.0
EngineV4,20,30.0
EngineV4,21,30.0
EngineV4,22,30.0
EngineV4,23,130.0
EngineV4,24,40.0
EngineV4,25,30.0
EngineV4,26,30.0
EngineV4,27,30.0
EngineV4,28,30.0
EngineV4,29,40.0
EngineV4,30,40.0
EngineV4,31,40.0
EngineV4,32,30.0
EngineV4,33,40.0
EngineV4,34,40.0
EngineV4,35,30.0
EngineV4,36,30.0
EngineV4,37,30.0
EngineV4,38,30.0
EngineV4,39,30.0
EngineV4,40,40.0
EngineV4,41,30.0
EngineV4,42,30.0
EngineV4,43,30.0
EngineV4,44,30.0
EngineV4,45,30.0
EngineV4,46,30.0
EngineV4,47,30.0
EngineV4,48,120.0
EngineV4,49,40.0
EngineV4,50,30.0
EngineV4,51,40.0
EngineV4,52,30.0
EngineV4,53,30.0
EngineV4,54,70.0
EngineV4,55,40.0
EngineV4,56,30.0
EngineV4,57,30.0
EngineV4,58,30.0
EngineV4,59,30.0
EngineV4,60,20.0
EngineV4,61,30.0
EngineV4,62,40.0
EngineV4,63,30.0
EngineV4,64,30.0
EngineV4,65,30.0
EngineV4,66,30.0
EngineV4,67,30.0
EngineV4,68,40.0
EngineV4,69,70.0
EngineV4,70,30.0
EngineV4,71,30.0
EngineV4,72,40.0
EngineV4,73,30.0
EngineV4,74,30.0
