engine,order,ns
EngineV1,0,1910.0
EngineV1,1,180.0
EngineV1,2,130.0
EngineV1,3,330.0
EngineV1,4,60.0
EngineV1,5,80.0
EngineV1,6,750.0
EngineV1,7,80.0
EngineV1,8,200.0
EngineV1,9,80.0
EngineV1,10,1230.0
EngineV1,11,80.0
EngineV1,12,70.0
EngineV1,13,160.0
EngineV1,14,50.0
EngineV1,15,70.0
EngineV1,16,80.0
EngineV1,17,50.0
EngineV1,18,930.0
EngineV1,19,70.0
EngineV1,20,260.0
EngineV1,21,60.0
EngineV1,22,120.0
EngineV1,23,70.0
EngineV1,24,60.0
EngineV1,25,90.0
EngineV1,26,90.0
EngineV1,27,130.0
EngineV1,28,470.0
EngineV1,29,90.0
EngineV1,30,230.0
EngineV1,31,60.0
EngineV1,32,70.0
EngineV1,33,930.0
EngineV1,34,60.0
EngineV1,35,240.0
EngineV1,36,140.0
EngineV1,37,70.0
EngineV1,38,160.0
EngineV1,39,70.0
EngineV1,40,430.0
EngineV1,41,70.0
EngineV1,42,70.0
EngineV1,43,60.0
EngineV1,44,60.0
EngineV1,45,70.0
EngineV1,46,70.0
EngineV1,47,60.0
EngineV1,48,60.0
EngineV1,49,60.0
EngineV1,50,60.0
EngineV1,51,90.0
EngineV1,52,60.0
EngineV1,53,60.0
EngineV1,54,60.0
EngineV1,55,80.0
EngineV1,56,290.0
EngineV1,57,70.0
EngineV1,58,130.0
EngineV1,59,50.0
EngineV1,60,120.0
EngineV1,61,70.0
EngineV1,62,90.0
EngineV1,63,60.0
EngineV1,64,50.0
EngineV1,65,80.0
EngineV1,66,420.0
EngineV1,67,80.0
EngineV1,68,90.0
EngineV1,69,70.0
EngineV1,70,1650.0
EngineV1,71,80.0
EngineV1,72,80.0
EngineV1,73,90.0
EngineV1,74,80.0
EngineV1,75,70.0
EngineV1,76,80.0
EngineV1,77,60.0
EngineV1,78,70.0
EngineV1,79,80.0
EngineV1,80,60.0
EngineV1,81,40.0
EngineV1,82,120.0
EngineV1,83,80.0
EngineV1,84,30.0
EngineV1,85,70.0
EngineV1,86,60.0
EngineV1,87,280.0
EngineV1,88,70.0
EngineV1,89,80.0
EngineV1,90,70.0
EngineV1,91,70.0
EngineV1,92,40.0
EngineV1,93,80.0
EngineV1,94,80.0
EngineV1,95,130.0
EngineV1,96,60.0
EngineV1,97,70.0
EngineV1,98,70.0
EngineV1,99,60.0
EngineV2,0,970.0
EngineV2,1,540.0
EngineV2,2,110.0
EngineV2,3,270.0
EngineV2,4,120.0
EngineV2,5,80.0
EngineV2,6,160.0
EngineV2,7,490.0
EngineV2,8,120.0
EngineV2,9,130.0
EngineV2,10,120.0
EngineV2,11,110.0
EngineV2,12,100.0
EngineV2,13,130.0
EngineV2,14,420.0
EngineV2,15,1210.0
EngineV2,16,130.0
EngineV2,17,160.0
EngineV2,18,550.0
EngineV2,19,130.0
EngineV2,20,140.0
EngineV2,21,140.0
EngineV2,22,130.0
EngineV2,23,70.0
EngineV2,24,140.0
EngineV2,25,160.0
EngineV2,26,120.0
EngineV2,27,520.0
EngineV2,28,90.0
EngineV2,29,180.0
EngineV2,30,280.0
EngineV2,31,70.0
EngineV2,32,710.0
EngineV2,33,180.0
EngineV2,34,390.0
EngineV2,35,60.0
EngineV2,36,110.0
EngineV2,37,210.0
EngineV2,38,180.0
EngineV2,39,130.0
EngineV2,40,100.0
EngineV2,41,60.0
EngineV2,42,130.0
EngineV2,43,80.0
EngineV2,44,130.0
EngineV2,45,650.0
EngineV2,46,80.0
EngineV2,47,60.0
EngineV2,48,70.0
EngineV2,49,640.0
EngineV2,50,90.0
EngineV2,51,170.0
EngineV2,52,140.0
EngineV2,53,140.0
EngineV2,54,110.0
EngineV2,55,130.0
EngineV2,56,140.0
EngineV2,57,130.0
EngineV2,58,110.0
EngineV2,59,130.0
EngineV2,60,150.0
EngineV2,61,180.0
EngineV2,62,350.0
EngineV2,63,160.0
EngineV2,64,140.0
EngineV2,65,120.0
EngineV2,66,380.0
EngineV2,67,120.0
EngineV2,68,130.0
EngineV2,69,130.0
EngineV2,70,1010.0
EngineV2,71,190.0
EngineV2,72,140.0
EngineV2,73,160.0
EngineV2,74,210.0
EngineV2,75,130.0
EngineV2,76,390.0
EngineV2,77,130.0
EngineV2,78,80.0
EngineV2,79,100.0
EngineV2,80,130.0
EngineV2,81,130.0
EngineV2,82,150.0
EngineV2,83,140.0
EngineV2,84,110.0
EngineV2,85,190.0
EngineV2,86,250.0
EngineV2,87,130.0
EngineV2,88,220.0
EngineV2,89,90.0
EngineV2,90,110.0
EngineV2,91,120.0
EngineV2,92,150.0
EngineV2,93,60.0
EngineV2,94,130.0
EngineV2,95,90.0
EngineV2,96,120.0
EngineV2,97,130.0
EngineV2,98,130.0
EngineV2,99,130.0
EngineV3,0,420.0
EngineV3,1,150.0
EngineV3,2,230.0
EngineV3,3,70.0
EngineV3,4,270.0
EngineV3,5,100.0
EngineV3,6,30.0
EngineV3,7,150.0
EngineV3,8,230.0
EngineV3,9,130.0
EngineV3,10,130.0
EngineV3,11,80.0
EngineV3,12,70.0
EngineV3,13,100.0
EngineV3,14,120.0
EngineV3,15,120.0
EngineV3,16,40.0
EngineV3,17,340.0
EngineV3,18,460.0
EngineV3,19,180.0
EngineV3,20,160.0
EngineV3,21,40.0
EngineV3,22,130.0
EngineV3,23,150.0
EngineV3,24,170.0
EngineV3,25,120.0
EngineV3,26,390.0
EngineV3,27,140.0
EngineV3,28,100.0
EngineV3,29,110.0
EngineV3,30,890.0
EngineV3,31,100.0
EngineV3,32,110.0
EngineV3,33,100.0
EngineV3,34,100.0
EngineV3,35,330.0
EngineV3,36,120.0
EngineV3,37,70.0
EngineV3,38,50.0
EngineV3,39,60.0
EngineV3,40,390.0
EngineV3,41,80.0
EngineV3,42,140.0
EngineV3,43,130.0
EngineV3,44,120.0
EngineV3,45,150.0
EngineV3,46,80.0
EngineV3,47,50.0
EngineV3,48,50.0
EngineV3,49,50.0
EngineV3,50,140.0
EngineV3,51,360.0
EngineV3,52,60.0
EngineV3,53,120.0
EngineV3,54,40.0
EngineV3,55,130.0
EngineV3,56,120.0
EngineV3,57,30.0
EngineV3,58,50.0
EngineV3,59,190.0
EngineV3,60,90.0
EngineV3,61,120.0
EngineV3,62,130.0
EngineV3,63,50.0
EngineV3,64,170.0
EngineV3,65,70.0
EngineV3,66,50.0
EngineV3,67,120.0
EngineV3,68,120.0
EngineV3,69,40.0
EngineV3,70,140.0
EngineV3,71,50.0
EngineV3,72,120.0
EngineV3,73,340.0
EngineV3,74,110.0
