engine,total_levels,orders_per_level,alloc_count,alloc_bytes,dealloc_count,dealloc_bytes,grow_count,grow_bytes
EngineV1,1,100000,0,0,4,8822672,0,0
EngineV2,1,100000,0,0,4,8822912,0,0
EngineV3,1,100000,0,0,5,8696184,0,0
EngineV4,1,100000,0,0,4,1209016,0,0
EngineV5,1,100000,0,0,5,1208580,0,0
EngineV1,10,10000,0,0,13,9085200,0,0
EngineV2,10,10000,0,0,13,9085056,0,0
EngineV3,10,10000,0,0,14,9220472,0,0
EngineV4,10,10000,0,0,13,1209272,0,0
EngineV5,10,10000,0,0,14,1209760,0,0
EngineV1,100,1000,0,0,103,8597264,0,0
EngineV2,100,1000,0,0,119,8599712,0,0
EngineV3,100,1000,0,0,120,8247832,0,0
EngineV4,100,1000,0,0,119,1224600,0,0
EngineV5,100,1000,0,0,104,1221264,0,0
EngineV1,1000,100,0,0,1003,8830736,0,0
EngineV2,1000,100,0,0,1169,8861728,0,0
EngineV3,1000,100,0,0,1170,8754248,0,0
EngineV4,1000,100,0,0,1169,1369416,0,0
EngineV5,1000,100,0,0,1004,1393808,0,0
EngineV1,10000,10,0,0,10003,9578256,0,0
EngineV2,10000,10,0,0,11668,9689904,0,0
EngineV3,10000,10,0,0,11669,10234160,0,0
EngineV4,10000,10,0,0,11668,2817200,0,0
EngineV5,10000,10,0,0,10004,2789776,0,0
