engine,total_levels,orders_per_level,alloc_count,alloc_bytes,dealloc_count,dealloc_bytes,grow_count,grow_bytes
EngineV1,1,100000,18,10748132,19,14196700,16,1048568
EngineV2,1,100000,100018,17948396,100019,21396940,15,1048544
EngineV3,1,100000,4,4920,5,8696184,30,6291264
EngineV4,1,100000,5,271128,5,1340088,1,32
EngineV5,1,100000,8,139708,6,1339652,1,32
EngineV1,10,10000,27,10748204,28,14459228,132,1311024
EngineV2,10,10000,100027,17948684,100028,21659084,120,1310400
EngineV3,10,10000,13,5496,14,9220472,135,6814976
EngineV4,10,10000,13,140344,14,1340344,0,0
EngineV5,10,10000,16,141692,17,1341740,2,48
EngineV1,100,1000,117,10748924,118,13971292,905,822368
EngineV2,100,1000,100129,17956076,100130,21172076,800,816000
EngineV3,100,1000,115,18936,116,8245112,815,5826176
EngineV4,100,1000,114,151680,115,1351680,0,0
EngineV5,100,1000,109,160972,110,1361468,5,496
EngineV1,1000,100,1017,10756124,1018,14204764,6008,1048640
EngineV2,1000,100,101153,18032140,101154,21424140,5000,992000
EngineV3,1000,100,1139,156440,1140,8734616,5015,6178176
EngineV4,1000,100,1137,275400,1138,1475400,0,0
EngineV5,1000,100,1013,470156,1014,1674236,8,4080
EngineV1,10000,10,10017,10828124,10018,14952284,30012,1724160
EngineV2,10000,10,111357,18776556,111358,22136556,20000,960000
EngineV3,10000,10,11356,1515504,11357,10029680,20015,6114176
EngineV4,10000,10,11338,1489984,11339,2689984,0,0
EngineV5,10000,10,10016,2851260,10017,4116780,12,65520
