engine,batch,m_orders_per_second
EngineV1,1,2.3811
EngineV1,2,0.77051
EngineV1,3,0.47988
EngineV1,4,0.338
EngineV1,5,0.26828
EngineV1,6,0.21944
EngineV1,7,0.18303
EngineV1,8,0.15819
EngineV1,9,0.14852
EngineV1,10,0.13104
EngineV2,1,2.3549
EngineV2,2,0.84272
EngineV2,3,0.51211
EngineV2,4,0.34511
EngineV2,5,0.27286
EngineV2,6,0.23734
EngineV2,7,0.19281
EngineV2,8,0.15615
EngineV2,9,0.14148
EngineV2,10,0.13028
EngineV3,1,26.851
EngineV3,2,28.692
EngineV3,3,26.219
EngineV3,4,27.252
EngineV3,5,28.873
EngineV3,6,30.158
EngineV3,7,30.265
EngineV3,8,26.759
EngineV3,9,8.807
EngineV3,10,23.911
EngineV4,1,39.558
EngineV4,2,46.588
EngineV4,3,47.119
EngineV4,4,46.486
EngineV4,5,46.96
EngineV4,6,46.884
EngineV4,7,46.836
EngineV4,8,47.279
EngineV4,9,47.481
EngineV4,10,47.281
